timestamp,course,heading,latitude,longitude,speed,vessel_id,C1 [-] (Parametric Roll Advanced 2 to 1),C2 [-] (Parametric Roll Advanced 2 to 1),C3 [-] (Parametric Roll Advanced 2 to 1),CTotal [-] (Parametric Roll Advanced 2 to 1),Parametric Roll Advanced 2 to 1 [-] (Parametric Roll Advanced 2 to 1),Pitch acceleration [deg/s2] (Motion Sensor),Pitch motion [deg] (Motion Sensor),Pitch motion - period [sec] (Motion Sensor),Pitch velocity [deg/s] (Motion Sensor),Roll acceleration [deg/s2] (Motion Sensor),Roll motion [deg] (Motion Sensor),Roll motion - period [sec] (Motion Sensor),Roll velocity [deg/s] (Motion Sensor),X acceleration [m/s2] (Motion Sensor),X motion [m] (Motion Sensor),X velocity [m/s] (Motion Sensor),Y acceleration [m/s2] (Motion Sensor),Y motion [m] (Motion Sensor),Y velocity [m/s] (Motion Sensor),Yaw acceleration [deg/s2] (Motion Sensor),Yaw motion [deg] (Motion Sensor),Yaw velocity [deg/s] (Motion Sensor),Z acceleration [m/s2] (Motion Sensor),Z motion [m] (Motion Sensor),Z velocity [m/s] (Motion Sensor),rpm,fuel_consumption_t_per_day,fuel_consumption_t_per_hour,fuel_cost_usd_per_hour
2026-03-01 08:30:00,195.0,21.57999992,32.82947159,-79.89360046,0.0,IMO1,0.04291982,0.06288889,0.54136223,1.56e-06,0.0,0.3178609,0.28182602,40.72167969,0.15665208,0.32800451,0.29830188,30.74938965,0.16279325,0.00532937,0.05934689,0.04614221,0.01013851,0.06437886,0.05118597,0.31614134,0.15465325,0.16373973,0.00562746,0.00801253,0.0054442,0.0,0.0,0.0,0.0
2026-03-01 08:45:00,195.0,21.57999992,32.82947159,-79.89360046,0.0,IMO1,0.04457329,0.1157521,0.38050991,2.67e-06,0.0,0.32138127,0.27023661,66.31928253,0.16135155,0.32165158,0.3086094,39.58900833,0.1634292,0.00666252,0.0616111,0.04613508,0.00616645,0.06149799,0.04912532,0.31732777,0.14789926,0.15923029,0.00543225,0.00674237,0.00483791,0.0,0.0,0.0,0.0
2026-03-01 09:00:00,195.1000061,21.70999908,32.82947922,-79.89362335,0.0,IMO1,0.0281013,0.1375556,0.39693981,0.00278289,0.0,0.32460886,0.25760728,45.7173996,0.16069691,0.32204506,0.31249779,41.40739059,0.16435039,0.00553301,0.06401777,0.04655088,0.01256141,0.0688057,0.05216014,0.32684934,0.14426358,0.16154996,0.00551913,0.00749251,0.00524172,0.0,0.0,0.0,0.0
2026-03-01 09:15:00,15.19999981,21.79999924,32.82947159,-79.89360046,0.0,IMO1,0.01213433,0.09642301,0.49326369,0.0,0.0,0.3381376,0.25501746,50.54615021,0.16498537,0.31259966,0.2685447,42.80335999,0.15694426,0.00528482,0.06106058,0.04521125,0.0111614,0.0649748,0.04642569,0.33325681,0.14901392,0.16563141,0.00552998,0.00797103,0.0055165,0.0,0.0,0.0,0.0
2026-03-01 09:30:00,235.5,21.75,32.82947922,-79.89360046,0.0,IMO1,0.00410213,0.04065763,0.68567592,3.24e-06,0.0,0.31941834,0.27330491,54.94451904,0.15918118,0.32009089,0.26338172,50.87144089,0.15802774,0.00634327,0.06327822,0.04696833,0.01147431,0.06678065,0.04844606,0.32709908,0.16216294,0.16963862,0.00548564,0.00753382,0.00526334,0.0,0.0,0.0,0.0
2026-03-01 09:45:00,195.1000061,21.70999908,32.82947922,-79.89360046,0.0,IMO1,0.01704167,0.07888889,0.46263301,1e-08,0.0,0.34222892,0.25996238,39.48917007,0.17034635,0.32383558,0.30875933,44.19454956,0.1644136,0.0058968,0.06763982,0.04865513,0.01448165,0.06649645,0.05025852,0.31972066,0.15881073,0.16695756,0.00559848,0.00771846,0.00537967,0.0,0.0,0.0,0.0
2026-03-01 10:00:00,244.19999695,21.70999908,32.82947922,-79.89360046,0.0,IMO1,0.04589391,0.08666667,0.50013798,0.0,0.0,0.32590151,0.26393628,43.83623886,0.16254595,0.32815966,0.28420657,44.80546188,0.16591887,0.00639338,0.06464266,0.04787315,0.01217819,0.06577525,0.04765689,0.32842198,0.16690929,0.16819002,0.00570876,0.00756965,0.00522545,0.0,0.0,0.0,0.0
2026-03-01 10:15:00,281.70001221,21.75,32.82947922,-79.89360046,0.0,IMO1,0.02519264,0.07709398,0.55523193,2.3e-06,0.0,0.30788544,0.26056743,38.41529083,0.15396172,0.3178657,0.26035473,49.23970032,0.16148774,0.00671083,0.06373265,0.04710019,0.00989449,0.06868726,0.04795051,0.32899863,0.15216748,0.16722234,0.00552355,0.00744863,0.00509421,0.0,0.0,0.0,0.0
2026-03-01 10:30:00,192.8999939,21.84000015,32.82947922,-79.89360046,0.0,IMO1,0.03383164,0.08598089,0.25116181,0.00034301,0.0,0.33032286,0.26623023,45.92515945,0.16221631,0.316338,0.26617065,40.34996033,0.1574097,0.00666397,0.06134224,0.04603029,0.01378006,0.06830831,0.04806095,0.33176893,0.15365238,0.16758527,0.00567706,0.00752952,0.0051967,0.0,0.0,0.0,0.0
2026-03-01 10:45:00,267.5,21.75,32.82947159,-79.89362335,0.00179573,IMO1,0.00126286,0.01622222,0.73585898,0.0,0.0,0.3241373,0.24514723,50.69480896,0.16236465,0.33476725,0.28319195,34.24588013,0.16625503,0.00601645,0.06579529,0.04642516,0.01069301,0.06834736,0.05025177,0.33325347,0.13968055,0.16313013,0.00542979,0.00741661,0.00511957,0.00718292,2.573597324358008e-10,1.0723322184825032e-11,1.0723322184825032e-08
